Time [s],Packet ID,Address,Data,Read/Write,ACK/NAK
14.37751583,11,0xA1,0x51,Read,ACK
14.37754133,11,0xA1,0x61,Read,ACK
14.37756667,11,0xA1,0x71,Read,ACK
14.37759217,11,0xA1,0x81,Read,ACK
14.3776175,11,0xA1,0x91,Read,ACK
14.377643,11,0xA1,0xA1,Read,ACK
14.37766833,11,0xA1,0xB1,Read,ACK
14.37769383,11,0xA1,0xC1,Read,ACK
14.37771917,11,0xA1,0xD1,Read,ACK
14.37774467,11,0xA1,0xE1,Read,ACK
14.37777,11,0xA1,0xF1,Read,NAK
