Time [s],Packet ID,MOSI,MISO
0.0013109,125,0xF5,0xF6
0.0013129,125,0xF6,0xF7
0.0013193,126,0xF8,0xF9
0.0013213,126,0xF9,0xFA
0.0013233,126,0xFA,0xFB
0.0013297,127,0xFC,0xFD
0.0013317,127,0xFD,0xFE
0.0013337,127,0xFE,0xFF
0.0013401,128,0x00,0x01
0.0013421,128,0x01,0x02
0.0013441,128,0x02,0x03
0.0013505,129,0x04,0x05
0.0013525,129,0x05,0x06
0.0013545,129,0x06,0x07
0.0013609,130,0x08,0x09
0.0013629,130,0x09,0x0A
0.0013649,130,0x0A,0x0B
0.0013713,131,0x0C,0x0D
0.0013733,131,0x0D,0x0E
0.0013753,131,0x0E,0x0F
0.0013817,132,0x10,0x11
0.0013837,132,0x11,0x12
0.0013857,132,0x12,0x13
0.0013921,133,0x14,0x15
0.0013941,133,0x15,0x16
0.0013961,133,0x16,0x17
0.0014025,134,0x18,0x19
0.0014045,134,0x19,0x1A
0.0014065,134,0x1A,0x1B
0.0014129,135,0x1C,0x1D
0.0014149,135,0x1D,0x1E
0.0014169,135,0x1E,0x1F
0.0014233,136,0x20,0x21
0.0014253,136,0x21,0x22
0.0014273,136,0x22,0x23
0.0014337,137,0x24,0x25
0.0014357,137,0x25,0x26
0.0014377,137,0x26,0x27
0.0014441,138,0x28,0x29
0.0014461,138,0x29,0x2A
0.0014481,138,0x2A,0x2B
0.0014545,139,0x2C,0x2D
0.0014565,139,0x2D,0x2E
0.0014585,139,0x2E,0x2F
0.0014649,140,0x30,0x31
0.0014669,140,0x31,0x32
0.0014689,140,0x32,0x33
0.0014753,141,0x34,0x35
0.0014773,141,0x35,0x36
0.0014793,141,0x36,0x37
0.0014857,142,0x38,0x39
0.0014877,142,0x39,0x3A
0.0014897,142,0x3A,0x3B
0.0014961,143,0x3C,0x3D
0.0014981,143,0x3D,0x3E
0.0015001,143,0x3E,0x3F
0.0015065,144,0x40,0x41
0.0015085,144,0x41,0x42
0.0015105,144,0x42,0x43
0.0015169,145,0x44,0x45
0.0015189,145,0x45,0x46
0.0015209,145,0x46,0x47
0.0015273,146,0x48,0x49
0.0015293,146,0x49,0x4A
0.0015313,146,0x4A,0x4B
0.0015377,147,0x4C,0x4D
0.0015397,147,0x4D,0x4E
0.0015417,147,0x4E,0x4F
0.0015481,148,0x50,0x51
0.0015501,148,0x51,0x52
0.0015521,148,0x52,0x53
0.0015585,149,0x54,0x55
0.0015605,149,0x55,0x56
0.0015625,149,0x56,0x57
0.0015689,150,0x58,0x59
0.0015709,150,0x59,0x5A
0.0015729,150,0x5A,0x5B
0.0015793,151,0x5C,0x5D
0.0015813,151,0x5D,0x5E
0.0015833,151,0x5E,0x5F
0.0015897,152,0x60,0x61
0.0015917,152,0x61,0x62
0.0015937,152,0x62,0x63
0.0016001,153,0x64,0x65
0.0016021,153,0x65,0x66
0.0016041,153,0x66,0x67
0.0016105,154,0x68,0x69
0.0016125,154,0x69,0x6A
0.0016145,154,0x6A,0x6B
0.0016209,155,0x6C,0x6D
0.0016229,155,0x6D,0x6E
0.0016249,155,0x6E,0x6F
0.0016313,156,0x70,0x71
0.0016333,156,0x71,0x72
0.0016353,156,0x72,0x73
0.0016417,157,0x74,0x75
0.0016437,157,0x75,0x76
0.0016457,157,0x76,0x77
0.0016521,158,0x78,0x79
0.0016541,158,0x79,0x7A
0.0016561,158,0x7A,0x7B
